school_name.x,isp,enrollment,cep
MacArthur Park Elementary School for the Visual and Performing A,0.622093023,516,1
COLUMBUS AVENUE,0.513569937,479,1
LAFAYETTE PARK PRIMARY CENTER,0.49382716,81,1
Ellen Ochoa Learning Center,0.522239264,1304,1
PRIMARY ACADEMY FOR SUCCESS,0.533783784,296,1
LOS ANGELES ACADEMY MIDDLE,0.651321398,1173,1
INDEPENDENCE ELEMENTARY,0.440225035,711,1
Gratts Learning Academy for Young Scholars (GLAYS),0.647887324,497,1
SAN ANTONIO ELEMENTARY,0.518453427,569,1
LOS ANGELES ELEMENTARY,0.544959128,734,1
WALNUT PARK ELEMENTARY,0.543964232,671,1
ESPERANZA ELEMENTARY,0.694103194,814,1
SARA COUGHLIN ELEMENTARY,0.509369676,587,1
NUEVA VISTA ELEMENTARY,0.471143757,953,1
LEO POLITI ELEMENTARY,0.499284692,699,1
SAN MIGUEL ELEMENTARY,0.435501654,907,0
TERESA HUGHES ELEMENTARY,0.513870542,757,1
MONTARA AVENUE ELEMENTARY,0.446731235,826,1
Pio Pico Middle,0.542510121,494,1
SUNRISE ELEMENTARY,0.51641791,335,1
NINTH STREET ELEMENTARY,0.797619048,336,1
Balboa Gifted/High Ability Magnet Elementary,0.117962466,746,0
OPEN CHARTER MAGNET,0.071604938,405,0
COMMUNITY MAGNET CHARTER ELEMENTARY,0.150655022,458,0
FISHBURN AVENUE ELEMENTARY,0.497844828,464,1
Robert F. Kennedy Elementary,0.458677686,242,1
Castlebay Lane Charter,0.094594595,740,0
EL SERENO MIDDLE,0.52862254,1118,1
GLENN HAMMOND CURTISS MIDDLE,0.570230608,477,1
SATURN STREET ELEMENTARY,0.441717791,326,1
LOREN MILLER ELEMENTARY,0.677374302,716,1
WALTER REED MIDDLE,0.269138756,1672,0
Sun Valley Magnet,0.513888889,1512,1
GASPAR DE PORTOLA MIDDLE,0.28079096,1770,0
Robert E. Peary Middle,0.503585657,1255,0
Woodland Hills Academy,0.434022258,629,0
OLIVE VISTA MIDDLE,0.479081214,1219,1
Alfred B. Nobel Charter Middle,0.207937164,2419,0
"Johnnie Cochran, Jr., Middle",0.625,616,1
EDWIN MARKHAM MIDDLE,0.695652174,713,1
JAMES MADISON MIDDLE,0.526801153,1735,1
JOSEPH LE CONTE MIDDLE,0.526867628,763,1
PATRICK HENRY MIDDLE,0.35059761,1255,0
George Ellery Hale Charter Academy,0.19618782,2151,0
Henry T. Gage Middle,0.535412606,1539,1
FOSHAY LEARNING CENTER,0.535908596,1838,1
Thomas A. Edison Middle,0.620662461,1268,1
RUDECINDA SEPULVEDA DODSON MIDDLE,0.301864802,1716,0
JOHN BURROUGHS MIDDLE,0.419109027,1706,0
BERENDO MIDDLE,0.588669951,812,1
AUDUBON MIDDLE,0.675052411,477,1
Sophia T. Salvin Special Education Center,0.08411215,107,1
SVEN LOKRANTZ SPECIAL EDUCATION CENTER,0.122807018,57,0
Alfonso B. Perez Special Education Center,0.057627119,295,1
MARLTON,0.423255814,215,1
James J. McBride Special Education Center,0.089430894,123,0
Ernest P. Willenberg Special Education Center,0.087912088,182,0
Benjamin Banneker Career and Transition Center,0.074285714,175,1
Charles Leroy Lowman Special Education and Career Transition Cen,0.101694915,118,0
Orville Wright Engineering and Design Magnet,0.421875,640,0
"Wilmington Middle Science, Technology, Engineering, Arts, Mathem",0.502151199,1627,1
Stephen M. White Middle,0.373549884,1724,0
DANIEL WEBSTER MIDDLE,0.522072937,521,1
VIRGIL MIDDLE,0.555169418,1151,1
VAN NUYS MIDDLE,0.472328244,1048,1
John A. Sutter Middle,0.53649635,822,1
Robert Louis Stevenson College and Career Preparatory,0.620087336,1145,1
SOUTH GATE MIDDLE,0.439065109,1797,1
FRANCISCO SEPULVEDA MIDDLE,0.605704698,1192,1
SAN FERNANDO MIDDLE,0.547945205,730,1
ROBERT FROST MIDDLE,0.21706399,1594,0
Paul Revere Charter Middle,0.145480226,2124,0
George K. Porter Middle,0.315866084,1374,0
PALMS MIDDLE,0.318471338,1256,0
PACOIMA MIDDLE,0.52962298,1114,1
NORTHRIDGE MIDDLE,0.548064919,801,1
FLORENCE NIGHTINGALE MIDDLE,0.552188552,891,1
WILLIAM MULHOLLAND MIDDLE,0.532129964,1385,1
JOHN MUIR MIDDLE,0.652686763,763,1
Mt. Gleason Middle,0.445652174,828,0
Robert A. Millikan Affiliated Charter & Performing Arts Magnet M,0.26790596,1829,0
MARY MCLEOD BETHUNE MIDDLE,0.641393443,976,1
MARK TWAIN MIDDLE,0.398084815,731,0
MARINA DEL REY MIDDLE,0.518453427,569,1
CHARLES MACLAY MIDDLE,0.657894737,570,1
ERNEST LAWRENCE MIDDLE,0.323611111,1440,0
Thomas Starr King Middle School Film and Media Magnet,0.374695864,2055,0
"Washington Irving Middle School Math, Music and Engineering Magn",0.496183206,786,1
OLIVER WENDELL HOLMES MIDDLE,0.380988593,1315,0
HOLLENBECK MIDDLE,0.639534884,1118,1
BRET HARTE PREPARATORY MIDDLE,0.652654867,452,1
Griffith Middle,0.538512179,1519,1
SAMUEL GOMPERS MIDDLE,0.668224299,428,1
ROBERT FULTON COLLEGE PREPARATORY,0.551628552,1443,1
ALEXANDER FLEMING MIDDLE,0.46996997,1332,0
Emerson Community Charter,0.286212914,573,0
CHARLES DREW MIDDLE,0.645070423,710,1
RICHARD HENRY DANA MIDDLE,0.438705663,1607,0
CHRISTOPHER COLUMBUS MIDDLE,0.5,682,1
Chester W. Nimitz Middle,0.552760307,1431,1
GEORGE WASHINGTON CARVER MIDDLE,0.657407407,756,1
ANDREW CARNEGIE MIDDLE,0.381595092,815,0
Richard E. Byrd Middle,0.433381089,1396,1
LUTHER BURBANK MIDDLE,0.487203791,1055,1
BELVEDERE MIDDLE,0.598765432,972,1
HUBERT HOWE BANCROFT MIDDLE,0.470350404,742,1
JOHN ADAMS MIDDLE,0.602708804,886,1
YORKDALE ELEMENTARY,0.380952381,252,1
WOODLAWN AVENUE ELEMENTARY,0.436699858,703,1
Woodland Hills Elementary Charter For Enriched Studies,0.108066971,657,0
Woodlake Elementary Community Charter,0.225454545,550,0
WOODCREST ELEMENTARY,0.659767141,773,1
WONDERLAND AVENUE ELEMENTARY,0.05620155,516,0
WINNETKA AVENUE ELEMENTARY,0.465447154,492,1
WINDSOR HILLS MATH SCIENCE,0.537313433,536,0
WILTON PLACE ELEMENTARY,0.447204969,483,0
WILSHIRE CREST ELEMENTARY,0.448275862,145,0
WILMINGTON PARK ELEMENTARY,0.460629921,762,0
Wilbur Charter For Enriched Academics,0.114104596,631,0
WHITE POINT ELEMENTARY,0.149333333,375,0
Westwood Charter Elementary,0.053333333,825,0
WESTPORT HEIGHTS ELEMENTARY,0.275471698,265,0
WESTMINSTER AVENUE ELEMENTARY,0.424096386,415,1
WESTERN AVENUE ELEMENTARY,0.622754491,501,1
WEST VERNON AVENUE ELEMENTARY,0.630642955,731,1
WEST HOLLYWOOD ELEMENTARY,0.094907407,432,0
WEST ATHENS ELEMENTARY,0.580786026,687,1
Welby Way Charter Elementary School And Gifted-High Ability Magn,0.072992701,822,0
WEIGAND AVENUE ELEMENTARY,0.665929204,452,1
WARNER AVENUE ELEMENTARY,0.045112782,665,0
WALGROVE AVENUE ELEMENTARY,0.201581028,253,0
Wadsworth Avenue Elementary,0.620689655,696,1
VIRGINIA ROAD ELEMENTARY,0.543918919,296,1
VINTAGE MATH/SCIENCE/TECHNOLOGY MAGNET,0.2,825,0
VINEDALE ELEMENTARY,0.402298851,174,1
VINE STREET ELEMENTARY,0.480093677,427,1
VICTORY BOULEVARD ELEMENTARY,0.476950355,564,1
VICTORIA AVENUE ELEMENTARY,0.463942308,416,1
VERNON CITY ELEMENTARY,0.579710145,207,1
VERMONT AVENUE ELEMENTARY,0.583038869,566,1
VENA AVENUE ELEMENTARY,0.370617696,599,1
VANALDEN AVENUE ELEMENTARY,0.45215311,418,0
VAN NUYS ELEMENTARY,0.514705882,612,1
VAN NESS AVENUE ELEMENTARY,0.388888889,198,1
Van Gogh Charter,0.16025641,468,0
VAN DEENE AVENUE ELEMENTARY,0.386075949,316,0
VALLEY VIEW ELEMENTARY,0.171171171,222,0
VALERIO STREET ELEMENTARY,0.524492234,837,1
UTAH STREET ELEMENTARY,0.534351145,393,1
UNION AVENUE ELEMENTARY,0.60296846,1078,1
Two Hundred Thirty-Second Place,0.253488372,430,0
TWENTY-FOURTH STREET ELEMENTARY,0.551495017,602,1
TWENTY-EIGHTH STREET ELEMENTARY,0.628571429,700,1
Twentieth Street Elementary,0.608333333,600,1
TWEEDY ELEMENTARY,0.418238994,636,1
TULSA STREET ELEMENTARY,0.275423729,472,0
TRINITY STREET ELEMENTARY,0.675090253,277,1
TOWNE AVENUE ELEMENTARY,0.336231884,345,0
Topeka Charter School For Advanced Studies,0.148211244,587,0
Topanga Elementary Charter,0.105263158,285,0
TOLUCA LAKE ELEMENTARY,0.327083333,480,0
TOLAND WAY ELEMENTARY,0.396449704,338,1
Birdielee V. Bright Elementary,0.555166375,571,1
Lenicia B. Weemes Elementary,0.571428571,511,1
THIRTY-SECOND STREET USC PERFORMING ARTS,0.419825073,1029,0
THIRD STREET ELEMENTARY,0.135179153,614,0
TENTH STREET ELEMENTARY,0.628899836,609,1
TELFAIR AVENUE ELEMENTARY,0.661721068,674,1
TARZANA ELEMENTARY,0.477477477,333,0
Taper Avenue Elementary,0.194369973,746,0
SYLVAN PARK ELEMENTARY,0.504975124,804,1
SYLMAR ELEMENTARY,0.41025641,546,1
SUPERIOR STREET ELEMENTARY,0.20746888,482,0
SUNNY BRAE AVENUE ELEMENTARY,0.520153551,521,1
SUNLAND ELEMENTARY,0.360294118,408,0
STRATHERN STREET ELEMENTARY,0.47723133,549,1
STONER AVENUE ELEMENTARY,0.553435115,262,1
STONEHURST AVENUE ELEMENTARY,0.333333333,294,0
STATE STREET ELEMENTARY,0.455426357,516,1
STANFORD AVENUE ELEMENTARY,0.563868613,548,1
STAGG STREET ELEMENTARY,0.344978166,458,0
SOUTH SHORES/CSUDH VISUAL AND PERFORMING ARTS,0.22410148,473,0
SOUTH PARK ELEMENTARY,0.600798403,1002,1
SOTO STREET ELEMENTARY,0.466019417,206,1
SOLANO AVENUE ELEMENTARY,0.330578512,242,0
SIXTY-SIXTH STREET ELEMENTARY,0.608748481,823,1
SIXTY-FIRST STREET ELEMENTARY,0.606504065,615,1
Gil Garcetti Learning Academy,0.594630872,745,1
SIXTH AVENUE ELEMENTARY,0.549808429,522,1
SIERRA VISTA ELEMENTARY,0.346846847,222,1
SIERRA PARK ELEMENTARY,0.568181818,352,1
SHORT AVENUE ELEMENTARY,0.276527331,311,0
SHIRLEY AVENUE ELEMENTARY,0.372413793,435,0
Sherman Oaks Elementary Charter,0.18865598,811,0
SHERIDAN STREET ELEMENTARY,0.661684783,736,1
SHENANDOAH STREET ELEMENTARY,0.528735632,435,1
SHARP AVENUE ELEMENTARY,0.544478528,652,1
SEVENTY-FOURTH STREET ELEMENTARY,0.625263158,475,1
SEVENTY-FIFTH STREET ELEMENTARY,0.60447036,1029,1
SEVENTH STREET ELEMENTARY,0.30964467,394,0
Serrania Avenue Charter For Enriched Studies,0.193693694,666,0
SELMA AVENUE ELEMENTARY,0.541284404,109,1
SECOND STREET ELEMENTARY,0.593059937,317,1
SATICOY ELEMENTARY,0.346938776,588,1
Martin Luther King Jr. Elementary,0.613583138,427,1
SAN PEDRO STREET ELEMENTARY,0.652941176,680,1
San Pascual Elementary Science Technology Engineering Arts And M,0.359060403,298,0
SAN JOSE STREET ELEMENTARY,0.264233577,685,0
SAN GABRIEL AVENUE ELEMENTARY,0.453310696,589,1
SAN FERNANDO ELEMENTARY,0.488410596,604,1
RUSSELL ELEMENTARY,0.578708947,883,1
ROWAN AVENUE ELEMENTARY,0.521794872,780,1
ROSEWOOD AVENUE ELEMENTARY,0.198606272,287,0
ROSEMONT AVENUE ELEMENTARY,0.656603774,265,1
ROSCOMARE ROAD ELEMENTARY,0.037362637,455,0
ROSCOE ELEMENTARY,0.486440678,590,1
Rockdale Visual & Performing Arts Magnet,0.245070423,355,0
ROBERT HILL LANE ELEMENTARY,0.435695538,381,1
Riverside Drive Charter,0.196864111,574,0
RITTER ELEMENTARY,0.679144385,374,1
RIO VISTA ELEMENTARY,0.190578158,467,0
Morris K. Hamasaki Elementary,0.518604651,430,1
RICHLAND AVENUE ELEMENTARY,0.186885246,305,0
RESEDA ELEMENTARY,0.505102041,392,1
RAYMOND AVENUE ELEMENTARY,0.592592593,540,1
RANCHITO AVENUE ELEMENTARY,0.454191033,513,1
RAMONA ELEMENTARY,0.53,500,1
QUEEN ANNE PLACE ELEMENTARY,0.398058252,412,1
PURCHE AVENUE ELEMENTARY,0.546038544,467,0
PRESIDENT AVENUE ELEMENTARY,0.338942308,416,0
Pomelo Community Charter,0.123558484,607,0
POINT FERMIN ELEMENTARY,0.32218845,329,0
PLUMMER ELEMENTARY,0.593078759,838,1
PLAYA DEL REY ELEMENTARY,0.181818182,286,0
Plainview Academic Charter Academy,0.525252525,297,0
PINEWOOD AVENUE ELEMENTARY,0.507109005,211,1
PASEO DEL REY FUNDAMENTAL,0.344387755,392,0
Parthenia Academy of Arts and Technology,0.517667845,566,1
PARMELEE AVENUE ELEMENTARY,0.605418139,849,1
PARK WESTERN PLACE ELEMENTARY,0.220630372,698,0
PARK AVENUE ELEMENTARY,0.571111111,450,1
PALMS ELEMENTARY,0.347266881,311,0
PALISADES CHARTER ELEMENTARY,0.032,500,0
OXNARD STREET ELEMENTARY,0.409326425,386,1
OVERLAND AVENUE ELEMENTARY,0.044534413,494,0
OSCEOLA STREET ELEMENTARY,0.498614958,361,1
ONE HUNDRED TWENTY-SECOND STREET ELEMENTARY,0.585959885,698,1
ONE HUNDRED TWELFTH STREET ELEMENTARY,0.733830846,402,1
ONE HUNDRED THIRTY-FIFTH STREET ELEMENTARY,0.488095238,756,1
ONE HUNDRED SIXTEENTH STREET ELEMENTARY,0.58097166,494,1
ONE HUNDRED SEVENTH STREET ELEMENTARY,0.645089286,896,1
FLORENCE GRIFFITH JOYNER ELEMENTARY,0.679060665,511,1
ONE HUNDRED NINTH STREET ELEMENTARY,0.626237624,404,1
One Hundred Fifty-Third Street,0.485788114,387,1
ONE HUNDRED FIFTY-SIXTH STREET ELEMENTARY,0.311111111,360,0
Lovelia P. Flournoy Elementary,0.749019608,510,1
ONE HUNDRED EIGHTY-SIXTH STREET ELEMENTARY,0.444589309,767,1
One Hundred Eighteenth Street,0.649093904,607,1
O'Melveny Elementary,0.390804598,522,1
NORWOOD STREET ELEMENTARY,0.622601279,469,1
NORMONT ELEMENTARY,0.608832808,317,1
NORMANDIE AVENUE ELEMENTARY,0.613924051,790,1
NORA STERRY ELEMENTARY,0.293680297,269,0
Noble Avenue Elementary,0.525943396,848,1
NINETY-THIRD STREET ELEMENTARY,0.604784689,1045,1
NINETY-SIXTH STREET ELEMENTARY,0.690807799,718,1
Charles W. Barrett Elementary,0.606870229,786,1
NINETY-SECOND STREET ELEMENTARY,0.591981132,848,1
NINETY-NINTH STREET ELEMENTARY,0.603508772,570,1
NINETY-FIFTH STREET ELEMENTARY,0.685625646,967,1
NEWCASTLE ELEMENTARY,0.5,352,0
NEVIN AVENUE ELEMENTARY,0.597402597,616,1
NEVADA AVENUE ELEMENTARY,0.397402597,385,1
Nestle Avenue Charter,0.313320826,533,0
NAPA STREET ELEMENTARY,0.592050209,478,1
MURCHISON STREET ELEMENTARY,0.629885057,435,1
MULTNOMAH STREET ELEMENTARY,0.354312354,429,1
Mt. Washington Elementary,0.050772627,453,0
MOUNTAIN VIEW ELEMENTARY,0.308290155,386,0
MORNINGSIDE ELEMENTARY,0.434545455,550,0
MONTE VISTA STREET ELEMENTARY,0.589285714,336,1
John B. Monlux Elementary,0.411078717,686,0
MIRAMONTE ELEMENTARY,0.631504923,711,1
MILES AVENUE ELEMENTARY,0.540816327,980,1
MIDDLETON STREET ELEMENTARY,0.591947769,919,1
MICHELTORENA STREET ELEMENTARY,0.221649485,388,0
MEYLER STREET ELEMENTARY,0.469470828,737,0
MENLO AVENUE ELEMENTARY,0.680722892,498,1
MELVIN AVENUE ELEMENTARY,0.515151515,396,0
MELROSE AVENUE ELEMENTARY,0.246049661,443,0
McKINLEY AVENUE ELEMENTARY,0.658666667,750,1
MAYBERRY STREET ELEMENTARY,0.507692308,260,0
MAYALL STREET ELEMENTARY,0.322033898,472,0
MARVIN ELEMENTARY,0.477428181,731,1
Marquez Charter,0.065891473,516,0
MARIANNA AVENUE ELEMENTARY,0.507462687,335,1
MAR VISTA ELEMENTARY,0.058925477,577,0
MANHATTAN PLACE ELEMENTARY,0.658263305,357,1
MANCHESTER AVENUE ELEMENTARY,0.682830931,763,1
MALABAR STREET ELEMENTARY,0.60915493,568,1
MAIN STREET ELEMENTARY,0.574941452,854,1
MAGNOLIA AVENUE ELEMENTARY,0.549346017,841,1
Loyola Village Fine And Performing Arts Magnet,0.369318182,352,0
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,0.450733753,477,0
LORNE STREET ELEMENTARY,0.339015152,528,0
LORETO STREET ELEMENTARY,0.573208723,321,1
LORENA STREET ELEMENTARY,0.564285714,420,1
LOMITA MATH/SCIENCE/TECHNOLOGY MAGNET,0.284648188,938,0
LOMA VISTA ELEMENTARY,0.487804878,738,1
Logan Academy of Global Ecology,0.559895833,384,1
LOCKWOOD AVENUE ELEMENTARY,0.483253589,418,1
Lockhurst Drive Charter Elementary,0.133744856,486,0
LIMERICK AVENUE ELEMENTARY,0.504551365,769,1
LILLIAN STREET ELEMENTARY,0.625254582,491,1
LIGGETT STREET ELEMENTARY,0.501416431,706,1
LIBERTY BOULEVARD ELEMENTARY,0.469283276,586,1
LEMAY STREET ELEMENTARY,0.342639594,394,0
LELAND STREET ELEMENTARY,0.431289641,473,0
LEAPWOOD AVENUE ELEMENTARY,0.448669202,263,0
LAUREL ELEMENTARY,0.464150943,265,0
LATONA AVENUE ELEMENTARY,0.542682927,164,1
LASSEN ELEMENTARY,0.432183908,435,0
LANKERSHIM ELEMENTARY,0.488431877,389,1
LANGDON AVENUE ELEMENTARY,0.714728682,645,1
LANAI ROAD ELEMENTARY,0.019163763,574,0
LA SALLE AVENUE ELEMENTARY,0.81038961,385,1
Knollwood Preparatory Academy,0.28009828,407,0
KITTRIDGE STREET ELEMENTARY,0.552019584,817,1
KESTER AVENUE ELEMENTARY,0.220829315,1037,0
KENTWOOD ELEMENTARY,0.141176471,340,0
Kenter Canyon Elementary Charter,0.0502693,557,0
Justice Street Academy Charter,0.176923077,390,0
IVANHOE ELEMENTARY,0.047311828,465,0
YES Academy,0.70398482,527,1
HUNTINGTON DRIVE ELEMENTARY,0.536977492,311,1
HUMPHREYS AVENUE ELEMENTARY,0.509803922,612,1
HUBBARD STREET ELEMENTARY,0.392733564,578,0
HOOVER STREET ELEMENTARY,0.52688172,744,1
HOOPER AVENUE ELEMENTARY,0.674394099,949,1
HOLMES AVENUE ELEMENTARY,0.675675676,222,1
HOBART BOULEVARD ELEMENTARY,0.561708861,632,1
HILLSIDE ELEMENTARY,0.629032258,124,1
HILLCREST DRIVE ELEMENTARY,0.698517298,607,1
HERRICK AVENUE ELEMENTARY,0.382892057,491,1
HELIOTROPE AVENUE ELEMENTARY,0.481658692,627,1
HAZELTINE AVENUE ELEMENTARY,0.513944223,753,1
Haynes Charter For Enriched Studies,0.120987654,405,0
HAWAIIAN AVENUE ELEMENTARY,0.571197411,618,1
Haskell Elementary Science Technology Engineering Arts And Mathe,0.370748299,588,0
HART STREET ELEMENTARY,0.530054645,732,1
HARRISON STREET ELEMENTARY,0.587223587,407,1
HARDING STREET ELEMENTARY,0.349009901,404,0
HARBOR CITY ELEMENTARY,0.487364621,554,1
HANCOCK PARK ELEMENTARY,0.150280899,712,0
William R. Anton Elementary,0.550680787,661,1
Hamlin Charter Academy,0.250764526,327,0
HALLDALE ELEMENTARY,0.39731286,521,0
HADDON AVENUE ELEMENTARY,0.473751601,781,1
GULF AVENUE ELEMENTARY,0.459770115,783,1
GRIFFIN AVENUE ELEMENTARY,0.568075117,426,1
GRIDLEY STREET ELEMENTARY,0.431226766,538,1
GRAPE STREET ELEMENTARY,0.719535783,517,1
GRANT ELEMENTARY,0.521008403,476,1
GRAND VIEW BOULEVARD ELEMENTARY,0.241426612,729,0
Granada Elementary,0.316708229,401,0
GRAHAM ELEMENTARY,0.59437751,747,1
GLENWOOD ELEMENTARY,0.482084691,307,1
