LEA ID,LEA Name,School ID,School Name,"Identified StudentPercentage (ISP)","ProxyIdentified StudentPercentage (ISP)",Eligible to Participate,"Near Eligible toParticipate","CurrentlyParticipating","Participating as anIndividual Site","Participating aspart of a Group ofSchools","Participating asPart of an EntireDistrict","Participating in Year4 and Eligible for aGrace Year","Student Enrollment in Near-Eligible,Eligible, and Participating CEP Schools",Comments
N-02-13,Clark County School District,002-284,"Fong, Wing & Lilly  ES",67.54%,,X,,X,,G43,,,844,
N-02-13,Clark County School District,002-305,"Rundle, Richard ES",67.58%,,X,,X,,G41,,,799,
N-02-13,Clark County School District,002-264,"Smith, J. D. MS",67.58%,,X,,X,,G18,,,981,
N-02-13,Clark County School District,002-074,Desert Rose HS,67.80%,,X,,X,,G42,,,469,
N-02-13,Clark County School District,002-175,"Keller, Charlotte & Jerry ES",67.90%,,X,,X,,G38,,,648,
N-02-13,Clark County School District,002-186,"Carson, Kit  ES",67.96%,,X,,X,,G50,,,387,
N-02-13,Clark County School District,002-412,"Snyder, William ES",68.20%,,X,,X,,G35,,,846,
N-02-13,Clark County School District,002-433,"Cunningham, Cynthia  ES",68.22%,,X,,X,,G42,,,796,
N-02-13,Clark County School District,002-431,"Woolley, Gwendolyn  ES",68.63%,,X,,X,,G5,,,800,
N-02-13,Clark County School District,002-204,"Pittman, Vail ES",68.72%,,X,,X,,G44,,,601,
N-02-13,Clark County School District,002-294,"West, Charles I. MS",68.98%,,X,,,,,,,"1,544",
N-02-13,Clark County School District,002-286,Red Rock ES,69.35%,,X,,X,,G37,,,783,
N-02-13,Clark County School District,002-098,Peterson Behavior Center,69.40%,,X,,X,,G21,,,183,
N-02-13,Clark County School District,002-071,"Rowe, Lewis E. ES",69.49%,,X,,X,,G14,,,708,
N-02-13,Clark County School District,002-910,"Park, John S. ES",69.72%,,X,,X,,G24,,,743,
N-02-13,Clark County School District,002-078,"Williams, Tom  ES",70.02%,,X,,X,,G49,,,834,
N-02-13,Clark County School District,002-343,"Cortez, Manuel  ES",70.28%,,X,,X,,G15,,,757,
N-02-13,Clark County School District,002-434,Monaco MS,70.30%,,X,,X,,G25,,,"1,330",
N-02-13,Clark County School District,002-325,"Reid, Harry  ES",70.37%,,X,,X,,G48,,,27,
N-02-13,Clark County School District,002-190,"Ronnow, C. C. ES",70.69%,,X,,X,,G43,,,771,
N-02-13,Clark County School District,002-360,"McWilliams, J. T.  ES",70.72%,,X,,X,,G39,,,823,
N-02-13,Clark County School District,002-191,"Von Tobel, Ed  MS",70.76%,,X,,X,,G30,,,"1,204",
N-02-13,Clark County School District,002-285,"Warren, Rose  ES",70.76%,,X,,X,,G28,,,749,
N-02-13,Clark County School District,002-260,Miley Secondary,71.43%,,X,,X,,G31,,,84,
N-02-13,Clark County School District,002-230,"Ward, Gene  ES",71.61%,,X,,X,,G33,,,715,
N-02-13,Clark County School District,002-254,"Diaz, Ruben ES",71.77%,,X,,X,,G34,,,719,
N-02-13,Clark County School District,002-192,"Reed, Doris ES",72.07%,,X,,X,,G16,,,777,
N-02-13,Clark County School District,002-239,Lincoln  ES,72.10%,,X,,X,,G26,,,803,
N-02-13,Clark County School District,002-198,"King, Martin Luther ES",72.29%,,X,,X,,G26,,,516,
N-02-13,Clark County School District,002-139,"Tate, Myrtle  ES",72.41%,,X,,X,,G18,,,870,
N-02-13,Clark County School District,002-290,"Herron, Fay  ES",72.43%,,X,,X,,G23,,,856,
N-02-13,Clark County School District,002-265,"Lunt, Robert  ES",72.61%,,X,,X,,G14,,,628,
N-02-13,Clark County School District,002-127,"Squires, C. P. ES",73.02%,,X,,X,,G10,,,708,
N-02-13,Clark County School District,002-195,"Bell, Rex  ES",73.17%,,X,,X,,G12,,,928,
N-02-13,Clark County School District,"Roundy, Dr. C Owen ES",73.73%,73.73%,X,,X,,G11,,,,830,
N-02-13,Clark County School District,"Hollingsworth, Howard E.  ES",73.90%,73.90%,X,,X,,G16,,,,636,
N-02-13,Clark County School District,"Ronzone, Bertha  ES",74.03%,74.03%,X,,X,,G19,,,,901,
N-02-13,Clark County School District,"Moore, William K. ES",74.24%,74.24%,X,,X,,G28,,,,695,
N-02-13,Clark County School District,"Gragson, Oran ES",74.27%,74.27%,X,,X,,G15,,,,820,
N-02-13,Clark County School District,Paradise ES,74.27%,74.27%,X,,X,,G36,,,,517,
N-02-13,Clark County School District,"Cambeiro, Arturo ES",74.53%,74.53%,X,,X,,G7,,,,640,
N-02-13,Clark County School District,"Hewetson, Halle ES",74.90%,74.90%,X,,X,,G7,,,,972,
N-02-13,Clark County School District,100 Academy of Excellence Secondary,75.00%,75.00%,X,,X,I,,,,,148,
N-02-13,Clark County School District,"Wynn, Elaine  ES",75.00%,75.00%,X,,X,,G13,,,,924,
N-02-13,Clark County School District,Whitney  ES,75.15%,75.15%,X,,X,,G6,,,,491,
N-02-13,Clark County School District,"Dearing, Laura ES",75.26%,75.26%,X,,X,,G20,,,,881,
N-02-13,Clark County School District,"Lowman, Zel & Mary ES",75.39%,75.39%,X,,X,,G8,,,,837,
N-02-13,Clark County School District,"Booker, Kermit R.  ES",75.60%,75.60%,X,,X,,G13,,,,500,
N-02-13,Clark County School District,"Craig, Lois ES",76.44%,76.44%,X,,X,,G12,,,,730,
N-02-13,Clark County School District,South Continuation @ 870,76.47%,76.47%,X,,X,,G27,,,,289,
N-02-13,Clark County School District,Rainbow Dreams Academy,77.27%,77.27%,X,,X,I,,,,,220,
N-02-13,Clark County School District,"Manch, J. E. ES",77.28%,77.28%,X,,X,,G9,,,,898,
N-02-13,Clark County School District,"Jeffers, Jay  ES",77.50%,77.50%,X,,X,,G17,,,,791,
N-02-13,Clark County School District,"Smith, Hal ES",77.57%,77.57%,X,,X,,G11,,,,945,
N-02-13,Clark County School District,"Detwiler, Ollie ES",77.78%,77.78%,X,,X,,G25,,,,729,
N-02-13,Clark County School District,"Orr, William E.  MS",78.72%,78.72%,X,,X,,G5,,,,"1,034",
N-02-13,Clark County School District,"Cahlan, Marion  ES",79.15%,79.15%,X,,X,,G22,,,,796,
N-02-13,Clark County School District,"002-405002-326002-256002-142002-149002-242002-224002-152002-287002-314002-116002-200002-121",100 Academy of Excellence,79.43%,,AttaXchment A,,X,I,,,,350,
N-02-13,Clark County School District,Cowan Academy  Behavioral,80.00%,80.00%,X,,X,,G29,,,,215,
N-02-13,Clark County School District,Miley Elementary,80.00%,80.00%,X,,X,,G48,,,,45,
N-02-13,Clark County School District,"Taylor, Robert L. ES",80.15%,80.15%,X,,X,,G6,,,,675,
N-02-13,Clark County School District,"McCall, Quannah  ES",80.37%,80.37%,X,,X,,G33,,,,382,
N-02-13,Clark County School District,Fitzgerald. H. P. ES,80.50%,80.50%,X,,X,,G10,,,,477,
N-02-13,Clark County School District,Sunrise Acres ES,80.58%,80.58%,X,,X,,G5,,,,793,
N-02-13,Clark County School District,"Martinez, Reynaldo ES",82.04%,82.04%,X,,X,,G6,,,,746,
N-02-13,Clark County School District,"Lynch, Ann ES",82.87%,82.87%,X,,X,,G6,,,,648,
N-02-13,Clark County School District,"Petersen, Dean  ES",82.92%,82.92%,X,,X,,G5,,,,"1,013",
N-02-13,Clark County School District,Rainbow Dreams MS,84.62%,84.62%,X,,X,I,,,,,78,
N-02-13,Clark County School District,"Williams, Wendell P.  ES",86.70%,86.70%,X,,X,,G5,,,,376,
N-02-13,Clark County School District,"Kelly, Matt ES",94.20%,94.20%,X,,X,,G5,,,,345,
N-30-17,Democracy Prep,N-30-17,Democracy Prep at Agassi High,52.48%,,X,,X,,,d,,202,
N-30-17,Democracy Prep,N-30-17,Democracy Prep at Agassi Middle,62.33%,,X,,X,,,d,,292,
N-30-17,Democracy Prep,N-30-17,Democracy Prep at Agassi Elementary,67.56%,,X,,X,,,d,,450,
N-03-13,Douglas County School District,003-504,Aspire Academy High School,30.30%,,,X,,,,,,66,
N-03-13,Douglas County School District,003-302,Pau-Wa-Lu Middle School,30.54%,,,X,,,,,,537,
N-03-13,Douglas County School District,003-201,Gardnerville Elementary School,32.43%,,,X,,,,,,367,
N-03-13,Douglas County School District,003-207,Scarselli Elementary School,32.55%,,,X,,,,,,424,
N-03-13,Douglas County School District,003-206,Jacks Valley Elementary School,34.92%,,,X,,,,,,378,
N-03-13,Douglas County School District,003-205,"Meneley, C.C. Elementary School",44.22%,,X,,,,,,,441,
N-22-13,Duckwater Shoshone ES,N-22-13,Duckwater Shoshone ES,100.00%,,X,,X,,,d,,16,
N-04-13,Elko County School District,004-213,Flag View Intermediate,30.96%,,,X,,,,,,801,
N-04-13,Elko County School District,004-203,Northside Elementary School,32.12%,,,X,,,,,,439,
N-04-13,Elko County School District,004-202,Grammar #2 Elementary School,32.30%,,,X,,,,,,356,
N-04-13,Elko County School District,004-507,West Wendover Middle School,32.56%,,,X,,,,,,172,
N-04-13,Elko County School District,004-105,Jackpot Elementary (was Combined),35.14%,,,X,,,,,,74,
N-04-13,Elko County School District,004-207,Wells Elementary (was Combined),35.82%,,,X,,,,,,201,
N-04-13,Elko County School District,004-208,West Wendover Elementary School,37.08%,,,X,,,,,,561,
N-04-13,Elko County School District,004-502,Wells Junior High School,38.33%,,,X,,,,,,60,
N-04-13,Elko County School District,004-205,Carlin Elementary(was Combined),41.40%,,X,,,,,,,215,
N-04-13,Elko County School District,004-604,Owyhee High School,43.66%,,X,,x,,G1,,,71,
N-04-13,Elko County School District,004-204,Southside Elementary School,45.74%,,X,,,,,,,645,
N-04-13,Elko County School District,004-506,Owyhee Junior High School,68.52%,,X,,x,,G1,,,54,
N-04-13,Elko County School District,004-206,Owyhee Elementary (was Combined),73.17%,,X,,x,,G1,,,205,
N-25-15,Equipo Academy,N-25-15,Equipo Academy,48.46%,,X,,,,,,,712,
N-05-13,Esmerelda County School District,005-101,"Dyer Elementary SchoolGoldfield Elementary SchoolSilver Peak Elementary Scho",43.14%,,X,,,,,,,51,
N-05-13,Esmerelda County School District,005-102,,50.00%,X,,,,,,,,22,
N-05-13,Esmerelda County School District,005-103,,75.00%,X,,,,,,,,8,
N-28-17,Futuro Academy,N-28-17,Futuro Academy,52.33%,,X,,,,,,,258,
N-07-13,Humboldt County School District,007-205,Grass Valley Elementary School,33.97%,,,X,,,,,,527,
N-07-13,Humboldt County School District,007-202,Winnemucca Grammar School,34.37%,,,X,,,,,,387,
N-07-13,Humboldt County School District,007-201,Sonoma Heights Elementary School,36.01%,,,X,,,,,,511,
N-07-13,Humboldt County School District,007-601,McDermitt High School,58.06%,,X,,x,I,,,x,31,
N-07-13,Humboldt County School District,007-302,McDermitt Junior High School,72.73%,,X,,x,I,,,x,22,
N-07-13,Humboldt County School District,007-203,McDermitt Elementary School,73.24%,,X,,x,I,,,x,71,
N-09-13,Lincoln County School District,009-302,Pahranagat Valley Middle School,31.67%,,,X,,,,,,60,
N-09-13,Lincoln County School District,009-102,Pahrangat Valley Elementary School,32.23%,,,X,,,,,,121,
N-09-13,Lincoln County School District,009-201,Caliente Elementary School,37.65%,,,X,,,,,,85,
N-10-13,Lyon County School District,010-208,Dayton Intermediate School,32.48%,,,X,,,,,,351,
N-10-13,Lyon County School District,010-305,Silverland Middle School,32.62%,,,X,,,,,,650,
N-10-13,Lyon County School District,010-206,East Valley Elementary,33.21%,,,X,,,,,,533,
N-10-13,Lyon County School District,010-211,Riverview Elementary School,33.48%,,,X,,,,,,463,
N-10-13,Lyon County School District,010-203,Fernley Intermediate School,34.90%,,,X,,,,,,659,
N-10-13,Lyon County School District,010-603,Yerington High School,38.96%,,,X,,,,,,385,
N-10-13,Lyon County School District,010-209,Cottonwood Elementary School,39.94%,,,X,,,,,,686,
N-10-13,Lyon County School District,010-210,Sutro Elementary School,40.27%,,X,,,,,,,442,
N-10-13,Lyon County School District,010-201,Dayton Elementary School,41.91%,,X,,,,,,,513,
N-10-13,Lyon County School District,010-605,Silver Stage High School,42.91%,,X,,,,,,,282,
N-10-13,Lyon County School District,010-302,Yerington Intermediate School,45.10%,,X,,,,,,,408,
N-10-13,Lyon County School District,010-203,Fernley Elementary School,46.74%,,X,,,,,,,522,
N-10-13,Lyon County School District,010-304,Silver Stage Middle School,52.66%,,X,,X,,G1,,,319,
N-10-13,Lyon County School District,010-202,Yerington Elementary School,53.05%,,X,,,,,,,573,
N-10-13,Lyon County School District,010-205,Silver Stage Elementary School,59.16%,,X,,X,,G1,,,404,
N-23-14,Mater Academy of Nevada,049-433,Mater Academy of Nevada - Bonanza,55.49%,,X,,,,,,,910,
N-23-14,Mater Academy of Nevada,049-432,Mater Academy of Nevada - Mountain Vista,52.12%,,X,,x,I,,,,1059,
N-31-17,Mater Academy of Northern Nevada,044-437,Mater Academy of Northern Nevada,58.57%,,X,,,,,,,251,
N-11-13,Mineral County School District,011-201,Hawthorne Elementary School,41.53%,,X,,,,,,,301,
N-11-13,Mineral County School District,011-601,Mineral County High School,44.85%,,X,,,,,,,136,
N-11-13,Mineral County School District,011-203,Hawthorne JHS,47.14%,,X,,X,I,,,,70,
N-11-13,Mineral County School District,011-202,Schurz Elementary School,67.80%,,X,,X,I,,,,59,
N-32-19,Nevada Prep,102-100,Nevada Prep,69.05%,,X,,,,,,,126,
N-32-18,Nevada Rise,101-101,Nevada Rise,71.20%,,X,,,,,,,125,
N-12-13,Nye County School District,012-202,Tonopah Elementary School,34.05%,,,X,,,,,,185,
N-12-13,Nye County School District,012-312,Tonopah Middle School,39.56%,,,X,,,,,,91,
N-12-13,Nye County School District,012-602,Gabbs High School,50.00%,,AttaXchment A,,X,,G2,,,12,
N-12-13,Nye County School District,012-604,Pahrump Valley High School,52.15%,,X,,,,,,,"1,162",
N-12-13,Nye County School District,012-210,Floyd Elementary School,56.76%,,X,,X,,G3,,,562,
N-12-13,Nye County School District,012-601,Beatty High School,57.69%,,X,,X,,G1,,,104,
N-12-13,Nye County School District,012-301,Clarke Middle School,58.40%,,X,,X,,G3,,,964,
N-12-13,Nye County School District,012-105,Gabbs Elementary School (previously combined),63.16%,,X,,X,,G2,,,19,
N-12-13,Nye County School District,012-207,Hafen Elementary School,63.48%,,X,,X,,G3,,,397,
N-12-13,Nye County School District,012-315,Gabbs Middle School,66.67%,,X,,X,,G2,,,6,
N-12-13,Nye County School District,012-102,Manse Elementary School,68.77%,,X,,X,,G2,,,522,
N-12-13,Nye County School District,012-106,Amargosa Valley Elementary School,69.03%,,X,,X,,G1,,,113,
N-12-13,Nye County School District,012-606,Pathways High,69.54%,,X,,,,,,,174,
N-12-13,Nye County School District,012-316,Amargosa Middle School,70.59%,,X,,X,,G1,,,51,
N-12-13,Nye County School District,012-201,Beatty Elementary School,70.97%,,X,,X,,G1,,,62,
N-12-13,Nye County School District,012-108,Johnson Elementary School,71.29%,,X,,X,,G2,,,498,
N-12-13,Nye County School District,012-607,Pathways Middle,71.59%,,X,,,,,,,88,
N-12-13,Nye County School District,012-311,Beatty Middle School,72.41%,,X,,X,,G1,,,29,
N-12-13,Nye County School District,012-609,Pathways Elementary,83.33%,,X,,,,,,,6,
N-14-13,Pershing County School District,014-101,Imlay Elementary School,15.00%,,,,X,I,,,,20,
N-14-13,Pershing County School District,014-201,Lovelock Elementary School,51.14%,,X,,,,,,,350,
N-14-13,Pershing County School District,014-601,Pershing County Middle School,41.30%,,X,,,,,,,138,
N-14-13,Pershing County School District,014-301,Pershing High School,34.30%,,,X,,,,,,172,
N-20-13,Quest Academy,072-416,Northwest Campus,52.93%,,X,,,,,,,444,
N-20-13,Quest Academy,072-424,Alexander Kinder Campus,57.50%,,X,,,,,,,40,
N-27-16,SLAM Academy,047-434,SLAM Academy,35.73%,,,X,,,,,,918,
N-26-16,Somerset Academy,059-119,Somerset North Las Vegas,32.17%,,,X,,,,,,"1,147",
N-15-13,Storey County School District,015-102,Hillside Elementary,40.00%,,X,,,,,,,50,
N-16-13,Washoe County School District,016-230,Huffaker Elementary School,30.74%,,,X,,,,,,475,
N-16-13,Washoe County School District,016-607,North Valley High School,31.47%,,,X,,,,,,"1,986",
N-16-13,Washoe County School District,016-263,Silver Lake Elementary School,31.95%,,,X,,,,,,554,
N-16-13,Washoe County School District,016-211,Mount Rose Elementary School,32.30%,,,X,,,,,,483,
N-16-13,Washoe County School District,016-267,Moss Elementary School,32.32%,,,X,,,,,,625,
N-16-13,Washoe County School District,016-256,Gomes Elementary School,32.55%,,,X,,,,,,593,
N-16-13,Washoe County School District,016-238,Diedrichsen Elementary School,32.94%,,,X,,,,,,419,
N-16-13,Washoe County School District,016-270,Winnemucca Elementary School,34.20%,,,X,,,,,,690,
N-16-13,Washoe County School District,016-301,Clayton Middle School,38.20%,,,X,,,,,,746,
N-16-13,Washoe County School District,016-209,Towles Elementary School,38.90%,,,X,,,,,,347,
N-16-13,Washoe County School District,016-272,Donner Springs Elementary School,39.13%,,,X,,,,,,621,
N-16-13,Washoe County School District,016-302,Pine Middle School,39.16%,,,X,,,,,,"1,024",
N-16-13,Washoe County School District,016-262,Hidden Valley Elementary School,40.46%,,X,,,,,,,388,
N-16-13,Washoe County School District,016-275,Washoe Innovations,40.83%,,X,,,,,,,120,
N-16-13,Washoe County School District,016-605,Sierra Nevada Academy,40.87%,,X,,,,,,,416,
N-16-13,Washoe County School District,016-239,Dunn Elementary School,40.97%,,X,,,,,,,559,
N-16-13,Washoe County School District,016-226,Juniper Elementary School,41.67%,,X,,,,,,,552,
N-16-13,Washoe County School District,016-232,Lemmon Valley Elementary School,42.02%,,X,,,,,,,614,
N-16-13,Washoe County School District,016-213,Peavine Elementary School,42.02%,,X,,,,,,,376,
N-16-13,Washoe County School District,016-308,O'Brien Middle School,42.18%,,X,,,,,,,806,
N-16-13,Washoe County School District,016-501,Wooster High School,42.21%,,X,,,,,,,"1,599",
N-16-13,Washoe County School District,016-223,Drake Elementary School,42.96%,,X,,,,,,,284,
N-16-13,Washoe County School District,016-260,"Smith, Alice Elementary School",46.74%,,X,,,,,,,768,
N-16-13,Washoe County School District,016-206,Hunter Lake Elementary School,46.81%,,X,,,,,,,376,
N-16-13,Washoe County School District,016-219,Stead Elementary School,46.81%,,X,,,,,,,705,
N-16-13,Washoe County School District,016-503,Sparks High School,49.83%,,X,,,,,,,"1,190",
N-16-13,Washoe County School District,016-258,Dodson Elementary School,50.11%,,X,,,,,,,445,
N-16-13,Washoe County School District,016-220,Vets Memorial Elementary School,51.49%,,X,,,,,,,404,
N-16-13,Washoe County School District,016-307,Sparks Middle School,52.28%,,X,,,,,,,790,
N-16-13,Washoe County School District,016-240,Palmer Elementary School,53.15%,,X,,,,,,,508,
N-16-13,Washoe County School District,016-504,Hug High School,53.36%,,X,,,,,,,"1,445",
N-16-13,Washoe County School District,016-281,Mariposa Charter School,53.55%,,X,,,,,,,211,
N-16-13,Washoe County School District,016-268,Desert Heights Elementary School,53.78%,,X,,,,,,,543,
N-16-13,Washoe County School District,016-304,Vaughn Middle School,55.07%,,X,,,,,,,592,
N-16-13,Washoe County School District,016-306,Dilworth Middle School,55.41%,,X,,,,,,,702,
N-16-13,Washoe County School District,016-610,enCompass,55.88%,,X,,,,,,,102,
N-16-13,Washoe County School District,016-205,Warner Elementary School,55.89%,,X,,,,,,,399,
N-16-13,Washoe County School District,016-224,Greenbrae Elementary School,56.15%,,X,,,,,,,374,
N-16-13,Washoe County School District,016-227,Lincoln Park Elementary School,56.30%,,X,,,,,,,357,
N-16-13,Washoe County School District,016-911,Picollo Elementary School,56.73%,,X,,,,,,,104,
N-16-13,Washoe County School District,016-507,Washoe Inspire,57.32%,,X,,,,,,,164,
N-16-13,Washoe County School District,016-275,Bennett Elementary School,57.60%,,X,,,,,,,533,
N-16-13,Washoe County School District,016-203,Elmcrest Elementary School,57.69%,,X,,,,,,,364,
N-16-13,Washoe County School District,016-222,Maxwell Elementary School,58.96%,,X,,,,,,,519,
N-16-13,Washoe County School District,016-234,Sun Valley Elementary School,59.12%,,X,,,,,,,658,
N-16-13,Washoe County School District,016-225,"Smith, Kate Elementary School",61.13%,,X,,,,,,,319,
N-16-13,Washoe County School District,016-215,Corbett Elementary School,62.43%,,X,,,,,,,503,
N-16-13,Washoe County School District,016-305,Traner Middle School,63.48%,,X,,,,,,,794,
N-16-13,Washoe County School District,016-221,Risley Elementary School,63.81%,,X,,,,,,,478,
N-16-13,Washoe County School District,016-201,Anderson Elementary School,64.25%,,X,,,,,,,442,
N-16-13,Washoe County School District,016-917,Turning Point,65.00%,,AttaXchment A,,,,,,,40,
N-16-13,Washoe County School District,016-273,Mathews Elementary School,65.07%,,X,,,,,,,564,
N-16-13,Washoe County School District,016-266,Allen Elementary School,65.09%,,X,,,,,,,527,
N-16-13,Washoe County School District,016-204,Duncan Elementary School,65.63%,,X,,,,,,,416,
N-16-13,Washoe County School District,016-278,Bailey Charter School,66.17%,,X,,,,,,,266,
N-16-13,Washoe County School District,016-208,Booth Elementary School,67.08%,,X,,X,,G1,,,404,
N-16-13,Washoe County School District,016-231,Lemelson Elementary School,67.39%,,X,,,,,,,371,
N-16-13,Washoe County School District,016-228,Mitchell Elementary School,68.96%,,X,,,,,,,364,
N-16-13,Washoe County School District,016-214,Cannan Elementary School,70.15%,,X,,,,,,,479,
N-16-13,Washoe County School District,016-202,Loder Elementary School,73.61%,,X,,,,,,,538,
N-16-13,Washoe County School District,016-237,Natchez Elementary School,77.27%,,X,,X,,G1,,,132,
N-17-13,White Pine County School District,017-301,White Pine Middle School,34.04%,,,X,,,,,,282,
N-17-13,White Pine County School District,017-201,"Norman, David Elementary School",35.05%,,,X,,,,,,368,
N-17-13,White Pine County School District,017-203,McGill Elementary School,36.36%,,,X,,,,,,132,
